,Survived
156,0
132,1
8,1
55,1
122,1
169,0
20,1
66,0
84,0
165,0
162,0
62,1
102,0
57,1
150,1
93,0
105,1
153,1
136,0
31,1
77,0
119,0
10,0
166,0
28,0
168,1
134,0
106,1
118,1
120,1
131,1
42,0
90,1
45,0
15,0
19,0
33,1
3,1
53,0
163,1
160,1
103,1
68,1
112,1
141,0
41,1
174,1
56,1
152,1
81,1
107,1
145,1
16,1
173,1
23,0
127,0
24,0
87,1
109,1
157,0
25,0
44,1
125,1
49,0
37,1
13,1
126,1
92,1
89,0
7,0
65,0
91,0
72,1
171,1
117,1
5,1
48,1
69,0
52,0
83,1
94,1
128,1
115,1
47,1
139,1
86,0
30,1
12,0
78,1
36,1
144,1
182,1
88,1
34,0
135,0
79,1
151,1
39,1
143,1
177,0
108,0
18,0
74,1
161,1
71,1
63,1
22,1
75,1
29,0
178,1
9,0
172,1
180,1
104,0
2,0
50,1
114,1
54,1
82,1
38,1
147,1
0,1
14,0
146,1
149,1
26,1
32,1
95,1
110,1
123,1
70,1
98,0
148,0
96,1
175,1
51,1
130,1
176,1
167,1
138,1
64,1
129,1
133,1
97,0
58,1
158,1
